"Scenario","Message"
"school","EMERGENCY: Elevator malfunction in building B. Do not use elevators until cleared."
"school","WARNING: Hazardous materials incident near the playground. Evacuate immediately."
"school","CRITICAL: Security lockdown initiated. Remain in your classrooms until cleared."
"school","URGENT: Severe thunderstorm warning. Stay away from windows and electronic devices."
"school","ALERT: Fire reported in the library. Use alternate exits to leave the building."
"school","EMERGENCY: Medical assistance required at the main office."
"school","WARNING: Structural damage detected after earthquake. Do not re-enter the building."
"school","CRITICAL: Active threat in the parking lot. Lock classroom doors and await instructions."
"school","URGENT: Emergency evacuation drill scheduled for 10 AM today."
"school","ALERT: Severe heatwave alert. Limit outdoor activities and stay hydrated."
"school","EMERGENCY: Student fainted in the gym. Assistance needed."
"school","WARNING: Firefighters responding to a blaze in the art room."
"school","CRITICAL: Backup generators activated due to power failure."
"school","URGENT: Security breach in the computer lab. Remain in place until notified."
"school","ALERT: Severe flooding expected. Move to higher floors if possible."
"school","EMERGENCY: Evacuation due to chemical fumes in the science lab."
"school","WARNING: Allergic reaction reported in the lunchroom. Medical team en route."
"school","CRITICAL: All students must check in with their emergency contact now."
"school","URGENT: Gas leak suspected. Do not use electrical switches or open flames."
"school","ALERT: Evacuation in progress for severe weather threat."
"school","EMERGENCY: Fire alarm malfunction. Await further instructions."
"school","WARNING: Suspicious package found at the main entrance."
"school","CRITICAL: Medical team required in the nurse’s office immediately."
"school","URGENT: Severe windstorm warning. Secure all loose objects and stay indoors."
"school","ALERT: Building lockdown in effect due to police activity nearby."
"school","EMERGENCY: Elevator rescue in progress. Avoid elevator use until cleared."
"school","WARNING: Fire alarm test scheduled for tomorrow morning."
"school","CRITICAL: Heart attack symptoms reported in staff lounge. Medical team needed."
"school","URGENT: Security sweep in progress. Please remain in your classrooms."
"school","ALERT: All clear. Emergency situation resolved. Resume normal activities."
"school","EMERGENCY: Fire drill in progress. Proceed to your designated assembly point."
"school","WARNING: Power outage in the east wing. Use flashlights and await updates."
"school","CRITICAL: Tornado warning issued for the school district. Seek shelter now."
"school","URGENT: Medical emergency in classroom 112. Assistance required immediately."
"school","ALERT: Lockdown in effect. Remain in your classrooms until further notice."
"school","EMERGENCY: Smoke detected in the cafeteria. Evacuate that area."
"school","WARNING: Hazardous fumes detected in the janitor’s closet. Leave immediately."
"school","CRITICAL: Elevator stuck between floors. Rescue team en route."
"school","URGENT: Student injured on the playground. Medical team needed."
"school","ALERT: Fire alarm triggered in the gymnasium. Evacuate calmly and quickly."
"school","EMERGENCY: Unauthorized vehicle parked near the school entrance. Security notified."
"school","WARNING: Gas leak detected in the science lab. Avoid the area."
"school","CRITICAL: Water main break detected. Avoid restrooms and kitchen areas."
"school","URGENT: Hazardous chemical odor reported in the art room. Evacuate."
"school","ALERT: Severe heat advisory. Limit outdoor activities and drink water."
"school","EMERGENCY: Student injured in the hallway. First aid required."
"school","WARNING: Attempted break-in at the back entrance. Remain inside and lock doors."
"school","CRITICAL: Firefighters responding to blaze in the storage shed."
"school","URGENT: Emergency lighting activated due to power outage."
"school","ALERT: Early school closure in effect due to snowstorm warning."
"school","EMERGENCY: Head injury reported in the gymnasium. Medical team en route."
"school","WARNING: Remain calm and follow emergency procedures."
"school","CRITICAL: Unidentified package found in the main office. Await further instructions."
"school","URGENT: Student experiencing dizziness in the science lab. Medical help needed."
"school","ALERT: Tornado watch issued for the area. Stay alert."
"school","EMERGENCY: Burst water pipe in the restroom. Evacuate affected area."
"school","WARNING: Remain in your classrooms until the all-clear is given."
"school","CRITICAL: Lockdown in effect. Do not open doors for anyone until notified."
"school","URGENT: Fall injury in the hallway. Medical team dispatched."
"school","ALERT: Fire reported in the parking garage. Evacuate vehicles if safe."
"school","EMERGENCY: Gas leak detected near the cafeteria. Leave that section immediately."
"school","WARNING: Hazardous vapor detected in the storage room. Evacuate."
"school","CRITICAL: Elevator doors stuck on the third floor. Rescue underway."
"school","URGENT: Reduce outdoor activities and drink water due to heat advisory."
"school","ALERT: Student cut hand in the art room. First aid needed."
"school","EMERGENCY: Fire alarm triggered by burnt popcorn in the cafeteria."
"school","WARNING: Suspicious person seen near the playground. Report immediately."
"school","CRITICAL: Secure outdoor items and stay inside due to windstorm."
"school","URGENT: Smoke in the stairwell. Firefighters responding."
"school","ALERT: Allergic reaction in the lunchroom. Medical help required."
"school","EMERGENCY: Remain in your current location until police clear the area."
"school","WARNING: Use backup lighting and avoid elevators during power failure."
"school","CRITICAL: Update your emergency contact information now."
"school","URGENT: Chemical fumes in the janitor’s closet. Evacuate."
"school","ALERT: Student fainted in the main hallway. Assistance needed."
"school","EMERGENCY: Suspicious envelope found in the mailroom. Avoid the area."
"school","WARNING: Stay away from windows due to approaching thunderstorm."
"school","CRITICAL: Injury on the playground. Medical team responding."
"school","URGENT: Attempted unauthorized access at the back gate. Security notified."
"school","ALERT: Fire reported in the science wing. Evacuate immediately."
"school","EMERGENCY: School closing early today due to snowstorm warning."
"school","WARNING: Remain indoors until notified. Lockdown in effect."
"school","CRITICAL: Smoke detected in the ventilation system. Evacuate affected floors."
"school","URGENT: Fire alarm test scheduled for next Monday."
"school","ALERT: Head injury reported in the gym. Medical help needed."
"school","EMERGENCY: Remain calm and follow safety protocols during emergency."
"school","WARNING: Unidentified person seen in the hallway. Report suspicious activity."
"school","CRITICAL: Shortness of breath reported in the lunchroom. Medical team required."
"school","URGENT: Flash flood warning for the school. Move to higher floors."
"school","ALERT: Power outage in the library. Emergency lights are on."
"school","EMERGENCY: Fire drill in progress. Proceed to the nearest exit."
"school","WARNING: Remain in the building until the emergency is resolved."
"school","CRITICAL: Remain away from windows and doors during lockdown."
"school","URGENT: Choking incident in the cafeteria. Medical team needed."
"school","ALERT: Fire reported in the gym. Evacuate."
"school","EMERGENCY: Gas leak detected in the restroom. Leave that area immediately."
"school","WARNING: Hazardous vapor detected in the janitor’s closet. Evacuate."
"school","CRITICAL: Elevator stuck with passengers. Maintenance notified."
"school","URGENT: Use shaded walkways and drink water due to heat advisory."
"school","ALERT: Student slipped on wet floor in the hallway. Medical help needed."
"school","EMERGENCY: Fire alarm triggered by smoke in the science lab."
"school","WARNING: Unidentified person seen in the parking lot. Report to security."
"school","CRITICAL: Severe windstorm expected. Secure all paperwork and electronics."
"school","URGENT: Smoke detected in the basement. Firefighters responding."
"school","ALERT: Student allergic reaction in the lunchroom. Medical team needed."
"school","EMERGENCY: Remain in your current location until notified."
"school","WARNING: Use flashlights and avoid using elevators during power outage."
"school","CRITICAL: Chemical smell in the art room. Evacuate immediately."
"school","URGENT: Student fainted in the stairwell. Assistance required."
"school","ALERT: Suspicious package found in the main office. Avoid the area."
"school","EMERGENCY: Stay inside your classroom during thunderstorm warning."
"school","WARNING: Injury in the playground. Medical team dispatched."
"school","CRITICAL: Do not leave your classroom during security sweep."
"school","URGENT: Water main break. Evacuate affected areas."
"school","ALERT: Student cut finger in the cafeteria. First aid needed."
"school","EMERGENCY: Attempted break-in at the front entrance. Security notified."
"school","WARNING: Fire reported in the records room. Evacuate."
"school","CRITICAL: Backup power activated due to outage."
"school","URGENT: School closing at noon due to snowstorm warning."
"school","ALERT: Injury reported in the science lab. Medical help needed."
"school","EMERGENCY: Remain indoors until the all-clear is given."
"school","WARNING: Smoke detected in the stairwell. Evacuate."
"school","CRITICAL: Fire alarm test scheduled for next Friday."
"school","URGENT: Head injury reported in the gymnasium. Medical team required."
"school","ALERT: Remain calm and follow emergency instructions."
"school","EMERGENCY: Student having a seizure in the classroom. Medical help needed."
"school","WARNING: Severe hailstorm expected. Move away from windows."
"school","CRITICAL: Suspicious package found on school grounds. Notify authorities."
"school","URGENT: Fire detected in the teacher’s lounge. Evacuate now."
"school","ALERT: Medical emergency in the library. First aid team needed."
"school","EMERGENCY: Hazardous spill in the art room. Leave the area immediately."
"school","WARNING: Tornado sirens sounding. Move to interior rooms."
"school","CRITICAL: Medical emergency: Student with head injury in the playground."
"school","URGENT: Security alert: Attempted break-in at the staff entrance."
"school","ALERT: Fire reported in the auditorium. Use nearest safe exit."
"school","EMERGENCY: Student trapped in the elevator. Maintenance notified."
"school","WARNING: Severe thunderstorm expected this evening. Secure all equipment."
"school","CRITICAL: Unauthorized access attempt at the records vault. Security on scene."
"school","URGENT: Fire alarm triggered in the main office. Evacuate now."
"school","ALERT: Power failure in the cafeteria. Use flashlights and await updates."
"school","EMERGENCY: Student with severe bleeding in the playground. Call 911."
"school","WARNING: Hazardous material spill in the maintenance area. Evacuate immediately."
"school","CRITICAL: Lockdown in effect. Remain at your desk until cleared."
"school","URGENT: Fire reported in the computer lab. Evacuate the building at once."
"school","ALERT: Severe thunderstorm approaching. All students and staff remain indoors."
"school","EMERGENCY: Gas leak detected in the science wing. Leave the area immediately."
"school","WARNING: Suspicious individual seen near the playground. Lock all exterior doors."
"school","CRITICAL: Medical emergency in classroom 301. Nurse and staff respond now."
"school","URGENT: Bomb threat received. Evacuate using the nearest safe exit."
"school","ALERT: Chemical spill near the cafeteria. Avoid the affected area."
"school","EMERGENCY: Flooding in the basement. Move to higher floors and await instructions."
"school","WARNING: Power outage in the main building. Stay calm and await emergency lighting."
"school","CRITICAL: Security breach at the rear entrance. All doors to remain locked."
"school","URGENT: Explosion heard in the gymnasium. Evacuate the area calmly."
"school","ALERT: Unauthorized person detected in the hallway. Shelter in place."
"school","EMERGENCY: Earthquake detected. Drop, cover, and hold on."
"school","WARNING: Gas alarm triggered in the janitor’s closet. Leave that section now."
"school","CRITICAL: Fire alarm malfunction. Do not use elevators and await further notice."
"school","URGENT: Medical team needed in the art room. Student is unresponsive."
"school","ALERT: Suspicious package found in the staff lounge. Avoid the area and contact security."
"school","EMERGENCY: Elevator malfunction in building A. Use stairs until cleared."
"school","WARNING: Hazardous materials incident in the science lab. Evacuate immediately."
"school","CRITICAL: Security lockdown. Remain in classrooms until police arrive."
"school","URGENT: Severe windstorm warning. Secure windows and stay inside."
"school","ALERT: Fire reported in the music room. Use alternate exits."
"school","EMERGENCY: Medical assistance required at the main entrance."
"school","WARNING: Structural damage detected after earthquake. Do not enter damaged areas."
"school","CRITICAL: Active threat in the parking lot. Lock all classroom doors."
"school","URGENT: Emergency evacuation drill scheduled for 1 PM today."
"school","ALERT: Extreme heatwave. All outdoor activities are cancelled."
"school","EMERGENCY: Student fainted in the hallway. First aid needed."
"school","WARNING: Firefighters responding to a blaze in the storage room."
"school","CRITICAL: Backup generators activated due to power failure."
"school","URGENT: Security breach in the library. Remain where you are until cleared."
"school","ALERT: Severe flooding predicted. Move to upper floors."
"school","EMERGENCY: Evacuation due to chemical fumes in the art room."
"school","WARNING: Allergic reaction reported in the cafeteria. Medical help is on the way."
"school","CRITICAL: All students must check in with their emergency contact."
"school","URGENT: Gas leak suspected in the science classroom. Do not use electronics."
"school","ALERT: Evacuation in progress for severe weather."
"school","EMERGENCY: Fire alarm malfunction. Await instructions."
"school","WARNING: Suspicious package found at the gym entrance."
"school","CRITICAL: Medical team required in the nurse’s office for a seizure."
"school","URGENT: Tornado warning issued for this area. Move to shelter now."
"school","ALERT: Lockdown in effect. Remain in classrooms."
"school","EMERGENCY: Smoke detected in the cafeteria. Evacuate immediately."
"school","WARNING: Hazardous fumes detected in the storage area. Leave at once."
"school","CRITICAL: Elevator stuck between floors. Rescue team dispatched."
"school","URGENT: Student injured on the playground. Call for medical assistance."
"school","ALERT: Fire alarm triggered in the science wing. Evacuate calmly."
"school","EMERGENCY: Unauthorized vehicle parked near the school. Security notified."
"school","WARNING: Gas leak detected in the kitchen. Avoid the area."
"school","CRITICAL: Water main break in the basement. Avoid lower levels."
"school","URGENT: Chemical odor reported in the library. Evacuate that area."
"school","ALERT: Severe heat advisory. Stay hydrated and indoors."
"school","EMERGENCY: Student injured in the stairwell. First aid needed."
"school","WARNING: Attempted break-in at the gym entrance. Lock all doors."
"school","CRITICAL: Firefighters responding to blaze in the janitor’s closet."
"school","URGENT: Emergency lighting activated due to power outage."
"school","ALERT: Early dismissal due to snowstorm warning."
"school","EMERGENCY: Head injury reported in the auditorium. Medical team en route."
"school","WARNING: Remain calm and follow lockdown procedures."
"school","CRITICAL: Unidentified package found in the cafeteria. Await further instructions."
"school","URGENT: Student experiencing dizziness in the library. Medical help needed."
"school","ALERT: Tornado watch issued for the district. Stay alert."
"school","EMERGENCY: Burst water pipe in the restroom. Evacuate that section."
"school","WARNING: Remain in your classroom until all-clear is given."
"school","CRITICAL: Lockdown in effect. Do not open doors."
"school","URGENT: Fall injury in the gym. Medical team dispatched."
"school","ALERT: Fire reported in the parking garage. Move away from vehicles."
"school","EMERGENCY: Gas leak detected near the cafeteria. Leave the area."
"school","WARNING: Hazardous vapor detected in the science wing. Evacuate."
"school","CRITICAL: Elevator doors stuck on the fourth floor. Rescue underway."
"school","URGENT: Avoid outdoor activities due to heat advisory."
"school","ALERT: Student cut hand in the art room. Nurse needed."
"school","EMERGENCY: Fire alarm triggered by burnt food in the cafeteria."
"school","WARNING: Suspicious person seen near the bike racks. Report immediately."
"school","CRITICAL: Secure outdoor equipment due to windstorm."
"school","URGENT: Smoke in the hallway. Firefighters on the way."
"school","ALERT: Allergic reaction in the lunchroom. Medical team responding."
"school","EMERGENCY: Remain in your classroom until police clear the area."
"school","WARNING: Use backup lighting during power outage."
"school","CRITICAL: Update your emergency contact information."
"school","URGENT: Chemical fumes in the janitor’s closet. Evacuate now."
"school","ALERT: Student fainted in the hallway. First aid needed."
"school","EMERGENCY: Suspicious envelope found in the office. Avoid contact."
"school","WARNING: Stay away from windows during thunderstorm warning."
"school","CRITICAL: Injury on the playground. Medical team en route."
"school","URGENT: Attempted unauthorized access at the back gate. Security notified."
"school","ALERT: Fire reported in the science lab. Evacuate immediately."
"school","EMERGENCY: School closing early due to snowstorm."
"school","WARNING: Remain indoors until further notice. Lockdown in effect."
"school","CRITICAL: Smoke detected in the ventilation system. Evacuate upper floors."
"school","URGENT: Fire alarm test scheduled for next Monday."
"school","ALERT: Head injury reported in the gym. Nurse needed."
"school","EMERGENCY: Remain calm and follow emergency instructions."
"school","WARNING: Unidentified person seen in the parking lot. Security notified."
"school","CRITICAL: Shortness of breath reported in the lunchroom. Medical help needed."
"school","URGENT: Flash flood warning for the school. Move to upper floors."
"school","ALERT: Power outage in the science wing. Use emergency lights."
"school","EMERGENCY: Fire drill in progress. Proceed to the nearest exit."
"school","WARNING: Remain in the building until emergency is resolved."
"school","CRITICAL: Stay away from windows and doors during lockdown."
"school","URGENT: Choking incident in the cafeteria. Medical team needed."
"school","ALERT: Fire reported in the gymnasium. Evacuate."
"school","EMERGENCY: Gas leak detected in the restroom. Leave at once."
"school","WARNING: Hazardous vapor detected in the janitor’s closet. Evacuate."
"school","CRITICAL: Elevator stuck with students. Maintenance notified."
"school","URGENT: Use shaded walkways and hydrate during heat advisory."
"school","ALERT: Student slipped on wet floor. Nurse called."
"school","EMERGENCY: Fire alarm triggered by smoke in the science lab."
"school","WARNING: Unidentified person seen in the hallway. Report to staff."
"school","CRITICAL: Severe windstorm expected. Secure all outdoor items."
"school","URGENT: Smoke detected in the basement. Firefighters en route."
"school","ALERT: Student allergic reaction in the cafeteria. Medical help needed."
"school","EMERGENCY: Remain in your classroom until notified."
"school","WARNING: Use flashlights and avoid elevators during outage."
"school","CRITICAL: Chemical smell in the art room. Leave immediately."
"school","URGENT: Student fainted in the stairwell. Nurse needed."
"school","ALERT: Suspicious package found in the main office. Security alerted."
"school","EMERGENCY: Stay inside your classroom during severe weather."
"school","WARNING: Injury in the gym. Medical team dispatched."
"school","CRITICAL: Do not leave your classroom during security sweep."
"school","URGENT: Water main break. Evacuate affected classrooms."
"school","ALERT: Student cut finger in the cafeteria. Nurse needed."
"school","EMERGENCY: Attempted break-in at the front entrance. Staff alerted."
"school","WARNING: Fire reported in the records room. Evacuate now."
"school","CRITICAL: Backup power activated due to outage."
"school","URGENT: School closing at noon due to snowstorm."
"school","ALERT: Injury reported in the science lab. Nurse responding."
"school","EMERGENCY: Remain indoors until all-clear is given."
"school","WARNING: Smoke detected in the stairwell. Evacuate."
"school","CRITICAL: Fire alarm test scheduled for next Friday."
"school","URGENT: Head injury reported in the gymnasium. Medical help needed."
"school","ALERT: Remain calm and follow safety instructions."
"school","EMERGENCY: Student having a seizure in the hallway. Medical help needed."
"school","WARNING: Severe hailstorm expected. Move away from windows."
"school","CRITICAL: Suspicious package found on campus. Notify authorities."
"school","URGENT: Fire detected in the teacher’s lounge. Evacuate immediately."
"school","ALERT: Medical emergency in the library. Nurse responding."
"school","EMERGENCY: Hazardous spill in the art room. Leave the area."
"school","WARNING: Tornado sirens sounding. Move to interior rooms."
"school","CRITICAL: Medical emergency: Student with head injury in the playground."
"school","URGENT: Security alert: Attempted break-in at the staff entrance."
"school","ALERT: Fire reported in the auditorium. Use nearest exit."
"school","EMERGENCY: Student trapped in the elevator. Maintenance called."
"school","WARNING: Severe thunderstorm expected this afternoon. Secure equipment."
"school","CRITICAL: Unauthorized access attempt at the records office. Security notified."
"school","URGENT: Fire alarm triggered in the main office. Evacuate at once."
"school","ALERT: Power failure in the cafeteria. Use flashlights."
"school","EMERGENCY: Student with severe bleeding in the hallway. Call 911."
"school","WARNING: Hazardous material spill in the maintenance area. Evacuate."
"school","CRITICAL: Lockdown in effect. Remain at your desk until cleared."
"school","URGENT: Fire reported in the administrative office. Evacuate immediately."
"school","ALERT: Severe wind gusts expected. Secure windows and remain inside."
"school","EMERGENCY: Student experiencing chest pain in the gym. Medical team needed now."
"school","WARNING: Suspicious activity detected near the playground. Lock all doors."
"school","CRITICAL: Gas odor detected in the science building. Evacuate that wing."
"school","URGENT: Explosion heard in the cafeteria. Move away from the area."
"school","ALERT: Unauthorized person seen near the back gate. Security is responding."
"school","EMERGENCY: Water leak in the main hallway. Avoid the area."
"school","WARNING: Power lines down outside the school. Stay indoors."
"school","CRITICAL: Bomb threat received. Follow evacuation procedures calmly."
"school","URGENT: Fire alarm sounded in the staff lounge. Use nearest safe exit."
"school","ALERT: Security lockdown due to police activity in the neighborhood."
"school","EMERGENCY: Multiple injuries reported after equipment fell in the gym."
"school","WARNING: Severe cold front moving in. Dismissal may be delayed."
"school","CRITICAL: Medical emergency: Student with severe bleeding in the art room."
"school","URGENT: Elevator alarm sounded on the third floor. Do not use elevators."
"school","ALERT: Suspicious package found near the main entrance. Authorities notified."
"school","EMERGENCY: Student trapped in the restroom. Maintenance en route."
"school","WARNING: Flash flooding in the parking lot. Avoid outdoor areas."
"school","CRITICAL: Tornado warning. Move to designated shelter areas now."
"school","URGENT: Fire detected in the science classroom. Evacuate immediately."
"school","ALERT: Security sweep in progress. Remain in your classroom."
"school","EMERGENCY: Student fainted in the library. Nurse and staff respond."
"school","WARNING: Severe hailstorm expected. Remain away from windows."
"school","CRITICAL: Lockdown in effect. Do not leave your classroom for any reason."
"school","URGENT: Medical emergency: Student choking in the cafeteria."
"school","ALERT: Fire alarm test scheduled for 9 AM tomorrow."
"school","EMERGENCY: Gas leak detected in the janitor’s closet. Leave that area."
"school","WARNING: Suspicious vehicle parked near the school. Security investigating."
"school","CRITICAL: Severe heatwave advisory. Limit outdoor exposure."
"school","URGENT: Fire reported in the auditorium. Evacuate calmly."
"school","ALERT: Student with asthma attack in the hallway. Medical help needed."
"school","EMERGENCY: Hazardous spill in the science lab. Evacuate the building."
"school","WARNING: Tornado sirens activated. Move to interior rooms."
"school","CRITICAL: Security breach in the records office. Remain in place."
"school","URGENT: Fire alarm triggered in the gym storage. Use alternate exits."
"school","ALERT: Severe thunderstorm warning. All after-school activities cancelled."
"school","EMERGENCY: Student injured by falling object in the art room."
"school","WARNING: Unattended bag found in the hallway. Do not touch."
"school","CRITICAL: Medical emergency: Teacher collapsed in the classroom."
"school","URGENT: Fire detected in the cafeteria. Evacuate at once."
"school","ALERT: Security alert: Attempted forced entry at the main gate."
"school","EMERGENCY: Student experiencing seizure in the playground. Medical team needed."
"school","WARNING: Severe snowstorm expected. Early dismissal likely."
"school","CRITICAL: Suspicious letter found in the mailroom. Security notified."
"school","URGENT: Power surge detected. Save your work and prepare for outage."
"school","ALERT: Student with nosebleed in the library. Nurse needed."
"school","EMERGENCY: Smoke seen coming from the science wing. Evacuate that section."
"school","WARNING: Unattended suitcase found in the parking lot. Authorities alerted."
"school","CRITICAL: Fire suppression system activated in the chemistry lab. Leave immediately."
"school","URGENT: Student choking in the lunchroom. Immediate assistance required."
"school","ALERT: Tornado spotted nearby. Move to shelter areas."
"school","EMERGENCY: Student sustained electrical shock in the computer lab."
"school","WARNING: Hazardous spill in the janitor’s closet. Avoid the area."
"school","CRITICAL: Security alert: Attempted break-in at the rear entrance."
"school","URGENT: Fire alarm sounded on the roof. Evacuate upper floors."
"school","ALERT: Severe windstorm expected. Secure all outdoor items."
"school","EMERGENCY: Student with severe bleeding in the gym. Medical help needed."
"school","WARNING: Gas leak outside the building. Remain indoors."
"school","CRITICAL: Lockdown in effect due to suspicious activity in the area."
"school","URGENT: Fire reported near the emergency stairwell. Use alternate exits."
"school","ALERT: Student fainted in the elevator. Emergency crew on the way."
"school","EMERGENCY: Hazardous vapor detected in the restroom. Evacuate that section."
"school","WARNING: Power lines down near the school entrance. Avoid the area."
"school","CRITICAL: Medical emergency: Student with chest pains in the auditorium."
"school","URGENT: Security sweep in progress. Do not leave your classroom."
"school","ALERT: Bomb threat phoned in. Evacuate calmly."
"school","EMERGENCY: Student trapped under fallen bookshelf in the library."
"school","WARNING: Severe thunderstorm expected at 2 PM. Prepare to shelter in place."
"school","CRITICAL: Unauthorized access attempt detected in the computer lab."
"school","URGENT: Fire alarm triggered in the art room. Evacuate calmly."
"school","ALERT: Gas leak in the basement. Leave the area immediately."
"school","EMERGENCY: Medical emergency in the staff lounge. Ambulance en route."
"school","WARNING: Suspicious package found in the stairwell. Security notified."
"school","CRITICAL: Student missing after evacuation. Report immediately if seen."
"school","URGENT: Fire reported in the nurse’s office. Use nearest safe exit."
"school","ALERT: Power outage affecting all classrooms. Use emergency lighting."
"school","EMERGENCY: Student with severe allergic reaction in the cafeteria."
"school","WARNING: Severe ice on walkways outside. Use caution when exiting."
"school","CRITICAL: Security breach in the finance office. Remain in place."
"school","URGENT: Fire drill scheduled for today at 2 PM. Prepare to evacuate."
"school","ALERT: Medical emergency: Student collapsed in the hallway."
"school","EMERGENCY: Hazardous spill in the kitchen. Evacuate the area."
"school","WARNING: Tornado watch in effect. Monitor weather updates."
"school","CRITICAL: Suspicious noise heard in the basement. Security investigating."
"school","URGENT: Fire alarm test will occur in 10 minutes. Do not be alarmed."
"school","ALERT: Student with suspected heart attack in the gym. Call 911."
"school","EMERGENCY: Gas leak reported in the restroom. Leave the area immediately."
"school","WARNING: Unattended backpack found in the lobby. Security will inspect."
"school","CRITICAL: Lockdown drill in progress. Remain calm and follow instructions."
"school","URGENT: Fire detected in the main hallway. Evacuate now."
"school","ALERT: Severe weather alert: Lightning strikes in the area."
"school","EMERGENCY: Student sustained burn injury in the science lab. Medical help needed."
"school","WARNING: Hazardous fumes in the lunchroom. Avoid the area."
"school","CRITICAL: Unauthorized entry detected at the main gate. Security responding."
"school","URGENT: Fire alarm triggered in the art studio. Use alternate exits."
"school","ALERT: Student with broken arm in the gym. Nurse required."
"school","EMERGENCY: Flooding reported in the elevator shaft. Avoid elevators."
"school","WARNING: Severe snowstorm approaching. Prepare for early closure."
"school","CRITICAL: Suspicious person seen near the emergency exit. Stay alert."
"school","URGENT: Fire reported in the science office. Evacuate that section."
"school","ALERT: Power outage in the cafeteria. Use caution."
"school","EMERGENCY: Student with seizure in the hallway. Medical team needed."
"school","WARNING: Gas leak detected in the kitchen. Leave the building at once."
"school","CRITICAL: Security sweep in progress. Await further notification."
"school","URGENT: Fire alarm sounded in the staff corridor. Evacuate calmly."
"school","ALERT: Student fainted near the main entrance. Nurse on the way."
"school","EMERGENCY: Hazardous chemical detected in the art room. Evacuate now."
"school","WARNING: Tornado sirens sounding. Move to interior rooms."
"school","CRITICAL: Medical emergency: Student with head injury in the playground."
"school","URGENT: Fire reported in classroom 108. Evacuate immediately using the nearest exit."
"school","ALERT: Severe thunderstorm approaching campus. All students and staff remain indoors."
"school","EMERGENCY: Chemical spill detected in the science lab. Evacuate the science wing at once."
"school","WARNING: Suspicious individual seen near the bus loading area. Lock all exterior doors."
"school","CRITICAL: Medical emergency in the gymnasium. Call 911 and send nurse immediately."
"school","URGENT: Bomb threat received via phone. Follow evacuation procedures and move to assembly point."
"school","ALERT: Gas odor detected in the cafeteria. Do not use electrical switches and evacuate."
"school","EMERGENCY: Student having a seizure in the hallway. Medical team respond now."
"school","WARNING: Power outage in the main building. Remain calm and await further instructions."
"school","CRITICAL: Tornado warning issued. Move to interior rooms and stay away from windows."
"school","URGENT: Fire alarm sounded in the library. Evacuate quietly and quickly."
"school","ALERT: Lockdown in effect due to nearby police activity. Remain in classrooms and lock doors."
"school","EMERGENCY: Student missing after field trip. Notify administration immediately."
"school","WARNING: Severe hailstorm expected this afternoon. All outdoor activities cancelled."
"school","CRITICAL: Security breach at the main entrance. All visitors must be verified."
"school","URGENT: Explosion heard near the maintenance shed. Evacuate the area and avoid windows."
"school","ALERT: Unattended backpack found in the hallway. Do not touch and notify security."
"school","EMERGENCY: Flooding in lower level restrooms. Avoid the area and use alternate facilities."
"school","WARNING: Structural damage reported after earthquake. Do not enter damaged areas."
"school","CRITICAL: Medical emergency: Staff member collapsed in the faculty lounge. Call for help."
"social","URGENT: Fire reported at the main event hall. Evacuate immediately using the nearest exit."
"social","ALERT: Severe weather approaching the festival grounds. All attendees seek shelter now."
"social","EMERGENCY: Gas leak detected in the food court area. Leave the vicinity at once."
"social","WARNING: Suspicious individual seen near the stage entrance. Security is responding."
"social","CRITICAL: Medical emergency at the registration booth. First aid team needed immediately."
"social","URGENT: Bomb threat received at the concert venue. Evacuate calmly and quickly."
"social","ALERT: Chemical spill near the beverage tent. Avoid the area and follow staff instructions."
"social","EMERGENCY: Flooding in the parking lot. Move vehicles to higher ground if safe."
"social","WARNING: Power outage in the exhibition center. Remain calm and await instructions."
"social","CRITICAL: Security breach at the main gate. All exits are temporarily closed."
"social","URGENT: Explosion heard near the vendor area. Move away from the scene."
"social","ALERT: Unauthorized person detected backstage. Performers and crew shelter in place."
"social","EMERGENCY: Earthquake detected during the event. Move away from structures and take cover."
"social","WARNING: Gas alarm triggered in the restroom area. Leave immediately."
"social","CRITICAL: Fire alarm malfunction. Await further instructions and do not use elevators."
"social","URGENT: Medical team needed at the main entrance. Attendee has collapsed."
"social","ALERT: Suspicious package found near the ticket booth. Avoid the area and notify authorities."
"social","EMERGENCY: Elevator malfunction in the convention center. Use stairs until cleared."
"social","WARNING: Hazardous materials incident near the food trucks. Evacuate the area."
"social","CRITICAL: Security lockdown initiated. Remain where you are until cleared."
"social","URGENT: Severe thunderstorm warning. Stay inside the venue and away from windows."
"social","ALERT: Fire reported in the vendor tent. Use alternate exits to leave the area."
"social","EMERGENCY: Medical assistance required at the main stage."
"social","WARNING: Structural damage detected after earthquake. Do not re-enter the venue."
"social","CRITICAL: Active threat in the parking lot. Lock doors and await further instructions."
"social","URGENT: Emergency evacuation drill scheduled for 4 PM today."
"social","ALERT: Extreme heatwave alert. Hydration stations are available throughout the event."
"social","EMERGENCY: Attendee fainted near the food court. First aid needed."
"social","WARNING: Firefighters responding to a blaze in the merchandise booth."
"social","CRITICAL: Backup generators activated due to power failure."
"social","URGENT: Security breach in the VIP area. Remain in place until notified."
"social","ALERT: Severe flooding expected. Move to higher ground if possible."
"social","EMERGENCY: Evacuation due to chemical fumes in the restroom area."
"social","WARNING: Allergic reaction reported at the beverage kiosk. Medical team en route."
"social","CRITICAL: All attendees must check in with event staff now."
"social","URGENT: Gas leak suspected in the main pavilion. Do not use open flames."
