Scenario,Urgency,Believability,Excuse
school,high,high,My mother had a severe allergic reaction and I had to rush her to the ER.
school,high,high,My child had a severe asthma attack and needed close monitoring.
school,high,high,My father had a heart scare and I accompanied him to the doctor.
school,high,high,My grandmother had a fainting spell and I had to stay with her.
school,high,high,My child had a severe ear infection and needed to see a specialist.
school,high,high,My father had a bad fall and I had to take him for X-rays.
school,high,high,My child had a seizure and I had to call emergency services.
school,high,high,My mother had a severe back spasm and needed my help.
school,high,high,My father had a medical emergency and I had to stay at the hospital all day.
school,high,medium,My school bus broke down far from campus and there was no way to get another ride.
school,high,medium,My little brother accidentally spilled juice on my homework and I had to redo it.
school,high,medium,There was a lockdown drill at our apartment complex and we weren't allowed to leave.
school,high,medium,My neighbor's child got locked out and I was the only one home to help.
school,high,medium,My severe migraine made it impossible to attend class.
school,high,medium,I lost my school ID and couldn't enter the campus until it was sorted.
school,high,medium,There was a major traffic accident on the main road to school.
school,high,medium,My parent was in a minor car accident and I had to go to the hospital with them.
school,high,medium,My school uniform was ruined and I had no spare to wear.
school,high,medium,We had an unexpected family guest and I had to help prepare breakfast.
school,high,medium,I had to attend a court hearing as a witness for a friend.
school,high,medium,My house keys were lost and I had to wait for someone to let me out.
school,high,medium,I had a nosebleed that wouldn't stop and needed medical attention.
school,high,medium,My school shoes were soaked from the rain and I couldn't wear them.
school,high,medium,My neighbor's dog got loose and I spent hours trying to find it.
school,high,medium,There was a power outage in the neighborhood and the alarm didn't go off.
school,high,medium,My mother was unwell and I had to take care of my younger sibling.
school,high,medium,There was a gas leak in our street and we were evacuated for safety.
school,high,medium,I had to go to the embassy for a visa appointment scheduled months ago.
school,high,medium,My homework was accidentally thrown away during cleaning.
school,high,medium,I woke up with a swollen eye and my parents took me to the doctor.
school,high,medium,Our car wouldn't start and we had to wait for a mechanic.
school,high,medium,My little brother had a fever and I had to stay home to watch him.
school,high,medium,I had a sudden allergic reaction to pollen and couldn't stop sneezing.
school,high,medium,I had to go for a mandatory vaccination appointment.
school,high,medium,My bus was late due to a marathon blocking the roads.
school,high,medium,I had to help my grandparents with an urgent task early in the morning.
school,high,medium,There was a burst water pipe in the kitchen and I had to help clean up.
school,high,medium,My parent was called into work early and I had to wait for a neighbor to watch my sibling.
school,high,medium,I had a scheduled therapy session for my mental health.
school,high,medium,My school bag strap broke and I had to fix it before leaving.
school,high,medium,My neighbor's baby was crying all night and I barely got any sleep.
school,high,medium,There was a family emergency involving my cousin and I had to help.
school,high,medium,My cousin was in a minor accident and needed a ride home.
school,high,medium,My apartment complex had a fire drill that lasted hours.
school,high,medium,I lost my house keys and had to wait for a spare set.
school,high,medium,My elderly neighbor fell and I was the only one home to assist.
school,high,medium,My phone crashed and I lost access to important work files.
school,high,medium,My partner had a panic attack and I needed to support them.
school,high,medium,There was a gas leak in my building and we had to evacuate.
school,high,medium,My car was vandalized and I had to file a police report.
school,high,medium,My pet developed sudden symptoms and I had to rush to the vet.
school,high,medium,My internet router malfunctioned and I had to replace it.
school,high,medium,My child’s teacher requested an urgent meeting.
school,high,medium,My apartment was flooded due to a burst pipe above.
school,high,medium,My neighbor’s elderly parent wandered off and I joined the search.
school,high,medium,My partner was called into work unexpectedly and I had to watch the kids.
school,high,low,My alarm didn’t go off because my phone battery died overnight and I overslept.
school,high,low,I was stuck in traffic due to a parade and couldn’t make it to school on time.
school,high,low,My pet hamster escaped and I spent the morning searching for it before school.
school,high,low,"I had a sudden migraine and was sensitive to light and sound,   so I stayed home."
school,high,low,My younger sibling was sick and I had to stay home to take care of them.
school,high,low,My school bus broke down and I had to wait for a replacement for over an hour.
school,high,low,There was a power outage at home and I couldn’t complete my homework or get ready.
school,high,low,My parents had a family emergency and I had to stay home to help.
school,high,low,I lost my school ID and couldn’t enter the campus until it was replaced.
school,high,low,My bike tire went flat on the way to school and I had to walk back home.
school,high,low,I had a severe allergic reaction to pollen and couldn’t leave the house.
school,high,low,My pet dog was sick and I had to take it to the vet urgently.
school,high,low,My school was closed early due to a water main break and I couldn’t attend.
school,high,low,I had a dentist appointment that ran late and I missed school.
school,high,low,My parents’ car broke down and I had to wait for roadside assistance.
school,high,low,I was feeling very anxious and needed a mental health day.
school,high,low,My younger sibling locked themselves in the bathroom and I had to help them.
school,high,low,There was a lockdown drill at school and we were not allowed to leave.
school,high,low,My school bus driver was sick and the bus was canceled.
school,high,low,I had a stomach bug and couldn’t make it to school.
school,high,low,My parents had to attend an urgent meeting and couldn’t take me to school.
school,high,low,My alarm clock malfunctioned and didn’t ring this morning.
school,high,low,My pet bird escaped and I had to find it before leaving.
school,high,low,My school had a fire drill that lasted longer than expected.
school,high,low,I had a severe toothache and had to see the dentist urgently.
school,high,low,My parents’ car was involved in a minor accident and I had to stay with them.
school,high,low,My school was closed due to a gas leak and I couldn’t attend.
school,high,low,I had a fever and was advised by my doctor to rest at home.
school,high,low,My younger sibling was home sick and I had to take care of them.
school,high,low,My school bus was rerouted due to road construction and I missed it.
school,high,low,My parents had a family emergency and I had to stay home.
school,high,low,I had a migraine and was unable to attend school.
school,high,low,My bike chain broke and I had to walk to school.
school,high,low,My school was closed due to severe weather conditions.
school,high,low,I had a doctor’s appointment that I couldn’t reschedule.
school,high,low,My parents’ car was in the shop and I had no way to get to school.
school,high,low,I was feeling unwell and my parents kept me home.
school,high,low,My school had a lockdown due to a security threat.
school,high,low,My younger sibling was sick and I had to stay home to care for them.
school,high,low,My school bus was delayed due to an accident on the route.
school,high,low,I had a severe allergic reaction and needed medical attention.
school,high,low,My parents had to attend a funeral and I couldn’t go to school.
school,high,low,My school was closed due to a power outage.
school,high,low,I had a stomach virus and was too ill to attend school.
school,high,low,My parents’ car broke down and I had to wait for a tow truck.
school,high,low,My school was closed early due to a water main break.
school,high,low,I had a severe headache and couldn’t concentrate enough to attend school.
school,high,low,My younger sibling was home sick and I had to stay with them.
school,medium,high,My dentist appointment took longer than expected and I was late to class.
school,medium,high,My little brother missed his bus and I had to walk him to school.
school,medium,high,My school uniform was still wet from the laundry and I had to wait for it to dry.
school,medium,high,My parent-teacher conference was rescheduled to this morning.
school,medium,high,My science project supplies were missing and I had to buy replacements before school.
school,medium,high,My glasses broke and I had to get them fixed before I could see the board.
school,medium,high,Our car wouldn’t start and we had to wait for a jump.
school,medium,high,My pet was sick and I had to take it to the vet before class.
school,medium,high,My bus was late due to a marathon blocking the main road.
school,medium,high,My neighbor’s child was locked out and I had to help until their parent returned.
school,medium,high,I had to help my grandparents with an urgent task early in the morning.
school,medium,high,My alarm didn’t go off because of a power outage and I overslept.
school,medium,high,My little sister spilled juice on my homework and I had to redo it.
school,medium,high,My school bus was rerouted due to construction and I missed it.
school,medium,high,My mother was unwell and I had to take care of my younger sibling.
school,medium,high,My neighbor’s dog got loose and I helped look for it before school.
school,medium,high,My school shoes were soaked from the rain and I had to wait for them to dry.
school,medium,high,My parent was called into work early and I had to wait for a neighbor to watch my sibling.
school,medium,high,I had to go for a mandatory vaccination appointment before school.
school,medium,high,My house keys were lost and I had to wait for someone to let me out.
school,medium,high,My neighbor’s cat was stuck in a tree and I helped get it down.
school,medium,high,My school bag strap broke and I had to fix it before leaving.
school,medium,high,My mother had a migraine and needed help at home.
school,medium,high,My school bus driver was late and I had to wait at the stop.
school,medium,high,My little brother had a fever and I had to stay home to watch him.
school,medium,high,There was a burst water pipe in the kitchen and I had to help clean up.
school,medium,high,My parent was called into work early and I had to wait for a neighbor to watch my sibling.
school,medium,high,My neighbor’s baby was crying all night and I barely got any sleep.
school,medium,high,My friend’s bike tire was flat and I helped them fix it before school.
school,medium,high,My school locker jammed and I had to wait for the janitor to open it.
school,medium,high,My mother had a doctor’s appointment and I had to go with her.
school,medium,high,My neighbor needed help moving heavy boxes before school.
school,medium,high,My little sister’s alarm didn’t go off and I had to wake her up.
school,medium,high,My school bus was delayed by a flat tire.
school,medium,high,My neighbor’s car wouldn’t start and I helped them jump it.
school,medium,high,My parent’s phone died and I had to help them recharge it before leaving.
school,medium,high,My school shoes were missing and I had to find them before leaving.
school,medium,high,My little brother needed help with his homework before school.
school,medium,high,My neighbor’s window was stuck and I helped open it before leaving.
school,medium,high,My friend’s umbrella broke and I lent them mine before school.
school,medium,high,My parent needed help carrying groceries in the morning.
school,medium,high,My school bus was late due to fog and I had to wait at the stop.
school,medium,high,My little sister’s backpack zipper broke and I fixed it before school.
school,medium,high,My neighbor’s mailbox was knocked over and I helped fix it before leaving.
school,medium,medium,My friend’s car broke down and I had to give them a ride to school.
school,medium,medium,My sibling forgot their homework and I had to drop it off at school.
school,medium,medium,My neighbor needed help moving some boxes before class.
school,medium,medium,My alarm clock didn’t go off and I woke up late.
school,medium,medium,My pet bird escaped its cage and I had to catch it before leaving.
school,medium,medium,My little brother missed his bus and I had to walk him to school.
school,medium,medium,My school shoes were muddy and I had to clean them before leaving.
school,medium,medium,My friend’s bike got a flat tire and I helped them fix it.
school,medium,medium,My neighbor’s cat was stuck in a tree and I helped get it down.
school,medium,medium,My sibling needed help with a last-minute science project.
school,medium,medium,My school bus was late due to traffic and I had to wait at the stop.
school,medium,medium,My mother needed help setting up her new phone before I left.
school,medium,medium,My pet rabbit escaped and I had to catch it in the backyard.
school,medium,medium,My friend’s umbrella broke and I lent them mine before school.
school,medium,medium,My neighbor’s car was blocked in and I helped them move it.
school,medium,medium,My little sister’s lunchbox was missing and I helped her pack a new one.
school,medium,medium,My school bag strap broke and I had to fix it before leaving.
school,medium,medium,My roommate’s alarm was set for the wrong time and I woke up late.
school,medium,medium,My pet hamster escaped and I had to find it before leaving.
school,medium,medium,My friend’s dog got loose and I helped catch it before school.
school,medium,medium,My neighbor’s window was stuck and I helped open it before leaving.
school,medium,medium,My sibling needed help packing for a school trip.
school,medium,medium,My school bus was delayed by a flat tire and I had to wait.
school,medium,medium,My mother needed help carrying groceries in the morning.
school,medium,medium,My friend’s lunch spilled and I helped them make a new one.
school,medium,medium,My neighbor’s mailbox was knocked over and I helped fix it before leaving.
school,medium,medium,My little brother needed help with his homework before school.
school,medium,medium,My school locker jammed and I had to wait for the janitor to open it.
school,medium,medium,My friend’s glasses broke and I helped them tape them up before class.
school,medium,medium,My neighbor’s garden hose burst and I helped turn off the water.
school,medium,medium,My sibling’s bike tire was flat and I helped pump it up.
school,medium,medium,My school shoes were missing and I had to find them before leaving.
school,medium,medium,My pet cat hid under the bed and I had to coax it out.
school,medium,medium,My friend’s backpack was missing and I helped them search for it.
school,medium,medium,My neighbor’s trash can rolled down the street and I brought it back.
school,medium,medium,My little sister’s alarm didn’t go off and I had to wake her up.
school,medium,medium,My school bus was late due to fog and I had to wait at the stop.
school,medium,medium,My mother needed help finding her keys before I left.
school,medium,medium,My pet fish tank leaked and I had to clean up the water.
school,medium,medium,My friend’s phone died and I waited for them to charge it before leaving.
school,medium,medium,My neighbor’s car wouldn’t start and I helped them jump it.
school,medium,medium,My sibling’s lunch was forgotten at home and I had to drop it at school.
school,medium,medium,My school backpack zipper broke and I fixed it before leaving.
school,medium,medium,My roommate’s shoes were missing and I helped them search.
school,medium,low,My cat hid my homework and I spent the morning searching for it.
school,medium,low,I got distracted watching a sunrise and lost track of time.
school,medium,low,My neighbor’s rooster crowed all night and I barely slept.
school,medium,low,I was late because I was trying to beat my high score on a mobile game.
school,medium,low,My pet turtle blocked the hallway and refused to let me pass.
school,medium,low,My sibling dared me to build a card house and I lost track of time.
school,medium,low,My friend challenged me to a pancake-flipping contest and I couldn’t leave until I won.
school,medium,low,My goldfish looked sad and I spent the morning cheering it up.
school,medium,low,My roommate’s karaoke session ran late and I was too tired to wake up.
school,medium,low,My little brother hid my shoes as a prank and I had to find them.
school,medium,low,I was distracted by a squirrel outside my window for half an hour.
school,medium,low,My pet hamster fell asleep in my backpack and I didn’t want to disturb it.
school,medium,low,My neighbor’s parrot kept repeating “Don’t go to school!” and I listened.
school,medium,low,My friend dared me to memorize a tongue twister before leaving.
school,medium,low,My sibling’s video game tournament went late and I was up helping them practice.
school,medium,low,My pet rabbit was hiding and I wanted to find it before leaving.
school,medium,low,My friend’s cat knocked over my breakfast and I had to clean up.
school,medium,low,My neighbor’s dog howled all night and I couldn’t sleep.
school,medium,low,My roommate’s bread dough overflowed and I helped clean up.
school,medium,low,I was caught up in a group chat and didn’t notice the time.
school,medium,low,My sibling’s alarm clock was set to the wrong time and I overslept.
school,medium,low,My pet gecko escaped and I had to find it before leaving.
school,medium,low,My friend’s skateboard rolled under the couch and I helped retrieve it.
school,medium,low,My roommate’s alarm went off for an hour and I couldn’t concentrate on getting ready.
school,medium,low,My pet ferret hid my lunch and I had to search the apartment.
school,medium,low,My sibling’s science experiment exploded and I helped clean up.
school,medium,low,My friend’s drone landed on the roof and I had to retrieve it.
school,medium,low,My roommate’s blender exploded and I helped clean the kitchen.
school,medium,low,My pet snake wrapped around my doorknob and I had to wait for help.
school,medium,low,My sibling’s remote-controlled car got stuck in my backpack and I had to get it out.
school,medium,low,My friend’s alarm clock was set to the wrong time and I missed my ride.
school,medium,low,My roommate’s dog hid my notebook in the laundry basket.
school,medium,low,My pet raccoon stole my breakfast and I had to make more food.
school,medium,low,My neighbor’s goat wandered into my yard and I had to guide it home.
school,medium,low,My sibling challenged me to a staring contest and I lost track of time.
school,medium,low,My friend’s parrot escaped and I helped search the neighborhood.
school,medium,low,My roommate’s karaoke machine malfunctioned and I had to help fix it.
school,medium,low,My pet piglet escaped and I had to chase it through the backyard.
school,medium,low,My neighbor’s dog chewed up my backpack and I had to find another.
school,medium,low,My friend’s umbrella broke and I lent them mine before leaving.
school,medium,low,My sibling’s lunchbox was missing and I helped pack a new one.
school,medium,low,My roommate’s alarm clock malfunctioned and I was late.
school,medium,low,My pet squirrel hid my pencil case and I had to look everywhere.
school,medium,low,My neighbor’s ducklings blocked my path and I had to herd them to safety.
school,low,high,My alarm didn’t go off and I woke up late for school.
school,low,high,My sibling missed the bus and I had to walk them to school.
school,low,high,My pet needed a quick vet check before school.
school,low,high,I had to pick up a prescription for my parent before class.
school,low,high,My neighbor asked me to help carry groceries before leaving for school.
school,low,high,My friend’s bike chain broke and I helped them fix it before school.
school,low,high,My sibling forgot their lunch and I had to drop it off at school.
school,low,high,My pet cat scratched the door and I fixed it before leaving.
school,low,high,My roommate misplaced their keys and I helped them search.
school,low,high,My neighbor needed a ride to a doctor’s appointment.
school,low,high,My friend’s moving truck arrived late and I helped them unload.
school,low,high,My sibling’s alarm didn’t go off and I had to wake them up.
school,low,high,My pet bird got out of its cage and I had to catch it before leaving.
school,low,high,My roommate’s car wouldn’t start and I gave them a jump.
school,low,high,My neighbor’s child needed a ride to school and I helped out.
school,low,high,My friend’s phone died and I waited for them to charge it before leaving together.
school,low,high,My sibling needed help printing an assignment before school.
school,low,high,My child’s backpack zipper broke and I fixed it before leaving.
school,low,high,My pet rabbit escaped its pen and I had to catch it in the yard.
school,low,high,My roommate’s package was delivered to the wrong address and I helped retrieve it.
school,low,high,My neighbor’s dog got loose and I helped bring it back home.
school,low,high,My friend’s glasses broke and I helped them tape them up.
school,low,high,My sibling’s bike tire was flat and I helped pump it up.
school,low,high,My child’s shoes were missing and I helped them find a pair.
school,low,high,My pet cat hid under the bed and I had to coax it out.
school,low,high,My roommate’s alarm clock was set incorrectly and I helped reset it.
school,low,high,My neighbor’s garden hose burst and I helped clean up the water.
school,low,high,My friend’s umbrella broke and I lent them mine before leaving.
school,low,high,My sibling’s lunchbox was missing and I helped pack a new one.
school,low,high,My child’s homework was left at home and I had to drop it at school.
school,low,high,My pet hamster escaped and I had to find it before leaving.
school,low,high,My roommate’s phone charger was missing and I helped them find it.
school,low,high,My neighbor’s trash can rolled into the street and I moved it back.
school,low,high,My friend’s jacket was left at my place and I returned it before school.
school,low,high,My sibling needed help tying their shoes before leaving.
school,low,high,My child’s lunch spilled and I made a new one before leaving.
school,low,high,My pet fish tank needed cleaning and I did it before leaving.
school,low,high,My roommate needed help finding their wallet before leaving.
school,low,high,My neighbor’s window was stuck and I helped open it before leaving.
school,low,high,My friend’s lunch spilled and I helped them make a new one.
school,low,high,My pet bird escaped its cage and I had to catch it.
school,low,high,My sibling’s backpack zipper broke and I fixed it.
school,low,high,My roommate’s bike tire was flat and I helped pump it up.
school,low,medium,My neighbor asked me to water their plants and I forgot until this morning.
school,low,medium,I had to wait for a grocery delivery that was running late.
school,low,medium,My friend needed a ride to a club meeting before school.
school,low,medium,My sibling borrowed my headphones and I had to track them down.
school,low,medium,My roommate’s alarm clock was set for the wrong time and I helped fix it.
school,low,medium,My neighbor’s kid left their bike in my driveway and I had to move it.
school,low,medium,My friend’s coffee spilled on my shirt and I had to change.
school,low,medium,My pet bird knocked over a plant and I had to clean up the dirt.
school,low,medium,My sibling needed help with a last-minute art project.
school,low,medium,My roommate’s shoes were missing and I helped them search.
school,low,medium,My neighbor’s car was double parked and I waited for them to move it.
school,low,medium,My friend’s umbrella broke and I lent them mine before leaving.
school,low,medium,My child’s favorite book was missing and I helped them look for it.
school,low,medium,My pet rabbit chewed through a phone cord and I had to replace it.
school,low,medium,My sibling’s lunch was forgotten at home and I had to drop it at school.
school,low,medium,My roommate’s phone battery died and I waited for them to charge it.
school,low,medium,My neighbor’s mailbox was knocked over and I helped fix it.
school,low,medium,My friend’s keys were missing and I helped them search the house.
school,low,medium,My pet hamster escaped its cage and I had to find it before leaving.
school,low,medium,My sibling needed help packing for a school trip.
school,low,medium,My roommate’s laundry was left in the washer and I helped hang it up.
school,low,medium,My neighbor’s window was stuck and I helped open it.
school,low,medium,My friend’s dog got out and I helped catch it.
school,low,medium,My child’s shoes were muddy and I cleaned them before school.
school,low,medium,My pet cat hid under the bed and I had to coax it out.
school,low,medium,My sibling’s alarm didn’t go off and I had to wake them up.
school,low,medium,My roommate needed help finding their wallet before leaving.
school,low,medium,My neighbor’s garden hose burst and I helped turn off the water.
school,low,medium,My friend’s lunch spilled and I helped them make a new one.
school,low,medium,My pet bird escaped its cage and I had to catch it.
school,low,medium,My sibling’s backpack zipper broke and I fixed it.
school,low,medium,My roommate’s bike tire was flat and I helped pump it up.
school,low,medium,My neighbor’s trash can rolled down the street and I brought it back.
school,low,medium,My friend’s glasses were lost and I helped search.
school,low,medium,My child’s homework was missing and I helped them rewrite it.
school,low,medium,My pet fish tank needed cleaning and I did it before leaving.
school,low,medium,My sibling’s lunchbox was missing and I helped pack a new one.
school,low,medium,My roommate’s package was delivered to the wrong address and I helped retrieve it.
school,low,medium,My neighbor’s dog chewed up my school shoes and I had to find another pair.
school,low,medium,My friend’s skateboard rolled under a parked car and I helped retrieve it.
school,low,medium,My child’s toy was stuck in the toilet and I had to fish it out.
school,low,medium,My sibling needed help finding their school ID before leaving.
school,low,medium,My roommate’s phone charger was missing and I helped them find it.
school,low,low,I binge-watched cartoons all night and overslept for school.
school,low,low,"My horoscope said today was unlucky for learning, so I stayed home longer."
school,low,low,I was waiting for my bread to rise and lost track of time before school.
school,low,low,My goldfish looked sad and I spent the morning cheering it up instead of getting ready.
school,low,low,I was on hold with customer service about a video game for hours.
school,low,low,My cat insisted on sitting on my homework and I couldn’t move her for an hour.
school,low,low,My neighbor’s rooster crowed all night and I barely slept.
school,low,low,I got caught up watching funny dog videos and lost track of time.
school,low,low,My roommate challenged me to a pancake-flipping contest and I couldn’t leave until I won.
school,low,low,My pet turtle blocked the hallway and refused to let me pass.
school,low,low,My sibling hid my shoes as a prank and I had to find them.
school,low,low,I was distracted by a squirrel outside my window for half an hour.
school,low,low,My friend dared me to build a card house and I lost track of time.
school,low,low,My neighbor’s parrot kept repeating “Don’t go to school!” and I listened.
school,low,low,My pet hamster fell asleep in my backpack and I didn’t want to disturb it.
school,low,low,My roommate’s karaoke session ran late and I was too tired to wake up.
school,low,low,My sibling’s video game tournament went late and I was up helping them practice.
school,low,low,I was trying to beat my high score on a mobile game and lost track of time.
school,low,low,My pet rabbit was hiding and I wanted to find it before leaving.
school,low,low,My friend’s cat knocked over my cereal and I had to clean up.
school,low,low,My neighbor’s dog howled all night and I couldn’t sleep.
school,low,low,My roommate’s bread dough overflowed and I helped clean up.
school,low,low,I was caught up in a group chat and didn’t notice the time.
school,low,low,My sibling’s alarm clock was set to the wrong time and I overslept.
school,low,low,My pet gecko escaped and I had to find it before leaving.
school,low,low,My friend’s skateboard rolled under the couch and I helped retrieve it.
school,low,low,My roommate’s alarm went off for an hour and I couldn’t concentrate on getting ready.
school,low,low,My pet ferret hid my lunch and I had to search the apartment.
school,low,low,My sibling’s science experiment exploded and I helped clean up.
school,low,low,My friend’s drone landed on the roof and I had to retrieve it.
school,low,low,My roommate’s blender exploded and I helped clean the kitchen.
school,low,low,My pet snake wrapped around my doorknob and I had to wait for help.
school,low,low,My sibling’s remote-controlled car got stuck in my backpack and I had to get it out.
school,low,low,My friend’s alarm clock was set to the wrong time and I missed my ride.
school,low,low,My roommate’s dog hid my notebook in the laundry basket.
school,low,low,My pet raccoon stole my breakfast and I had to make more food.
school,low,low,My neighbor’s goat wandered into my yard and I had to guide it home.
school,low,low,My sibling challenged me to a staring contest and I lost track of time.
school,low,low,My friend’s parrot escaped and I helped search the neighborhood.
school,low,low,My roommate’s karaoke machine malfunctioned and I had to help fix it.
school,low,low,My pet piglet escaped and I had to chase it through the backyard.
school,low,low,My neighbor’s dog chewed up my backpack and I had to find another.
school,low,low,My friend’s umbrella broke and I lent them mine before leaving.
school,low,low,My sibling’s lunchbox was missing and I helped pack a new one.
social,high,high,My friend had a panic attack and I needed to stay with them until they felt safe.
social,high,high,My sibling was in a minor car accident and I had to rush to the hospital.
social,high,high,My partner fainted unexpectedly and I had to take them to urgent care.
social,high,high,My neighbor’s apartment caught fire and I helped them evacuate.
social,high,high,My pet swallowed something dangerous and I had to take them to the emergency vet.
social,high,high,My roommate had a severe allergic reaction and I had to administer their EpiPen.
social,high,high,My child had a high fever and I had to take them to the doctor immediately.
social,high,high,My elderly parent fell and I had to help them until the ambulance arrived.
social,high,high,My friend’s child got sick and I was the only one available to babysit.
social,high,high,My partner’s flight was canceled and I had to pick them up from a different airport.
social,high,high,My sibling had a sudden asthma attack and I had to run to the pharmacy for medication.
social,high,high,My neighbor’s dog escaped and I spent hours searching the neighborhood.
social,high,high,My friend’s car broke down in a remote area and I had to pick them up.
social,high,high,My roommate’s parent was hospitalized and I had to help manage their affairs.
social,high,high,My partner’s work called them in for an emergency shift and I had to watch the kids.
social,high,high,My child’s school called about a medical emergency and I had to leave immediately.
social,high,high,My friend’s sibling was stranded at the airport and I had to pick them up.
social,high,high,My elderly neighbor was locked out and I was the only one who could help.
social,high,high,My pet developed sudden symptoms and I had to rush to the vet for an emergency checkup.
social,high,high,My roommate’s car was stolen and I had to help them file a police report.
social,high,high,My partner’s parent had a fall and I had to help with emergency arrangements.
social,high,high,My child’s babysitter canceled last minute and I had to stay home.
social,high,high,My friend’s child was injured and I had to take them to urgent care.
social,high,high,My sibling had a severe migraine and needed my help.
social,high,high,My neighbor’s power went out and I helped them set up emergency lighting.
social,high,high,My friend’s pet was bitten by another animal and needed immediate care.
social,high,high,My roommate’s sibling was in a minor accident and I had to help with hospital paperwork.
social,high,high,My partner’s work called an emergency meeting and I had to supervise our children.
social,high,high,My child’s school bus was in an accident and I had to pick them up.
social,high,high,My friend’s parent had a medical emergency and I had to help coordinate care.
social,high,high,My elderly neighbor’s caretaker was sick and I had to fill in.
social,high,high,My pet got sick and I had to stay home to monitor them.
social,high,high,My roommate’s friend was hospitalized and I had to help coordinate support.
social,high,high,My partner’s sibling needed emergency childcare and I was the only one available.
social,high,high,My child’s after-school program was canceled and I had to make alternate arrangements.
social,high,high,My friend’s dog was hit by a car and I had to help get it to the vet.
social,high,high,My sibling’s apartment flooded and I had to help move valuables.
social,high,high,My neighbor’s elderly parent wandered off and I joined the search.
social,high,high,My friend’s spouse was in a minor accident and I had to help with paperwork.
social,high,high,My roommate’s pet developed sudden symptoms and needed emergency care.
social,high,high,My partner’s cousin was hospitalized and I had to help with arrangements.
social,high,high,My child’s teacher called about a sudden health issue and I had to leave.
social,high,high,My friend’s car was towed and I had to help retrieve it.
social,high,high,My elderly parent’s medication ran out and I had to get a refill urgently.
social,high,high,My roommate’s sibling had a panic attack and I had to stay with them.
social,high,medium,My friend’s car broke down on the way to the event and I had to help them get home.
social,high,medium,My neighbor’s child got locked out and I was the only one nearby to assist.
social,high,medium,My roommate accidentally spilled coffee on my outfit and I had to find something else to wear.
social,high,medium,My sibling’s pet escaped and I helped search the neighborhood.
social,high,medium,My partner’s cousin needed a ride to the hospital and I was the only one available.
social,high,medium,My friend’s phone was stolen and I had to help them file a police report.
social,high,medium,My roommate’s parent needed help with groceries and I was the only one free.
social,high,medium,My neighbor’s elderly mother fell and I stayed until paramedics arrived.
social,high,medium,My child’s friend was sick and I had to watch them while their parent went to the doctor.
social,high,medium,My sibling’s car was blocked in and I had to help move it.
social,high,medium,My partner’s friend was stranded at the airport and I had to pick them up.
social,high,medium,My friend’s pet rabbit escaped and I helped search the backyard.
social,high,medium,My roommate’s sibling needed a ride to a job interview and I was the only one available.
social,high,medium,My neighbor’s pipes burst and I helped them manage the flooding.
social,high,medium,My child’s after-school activity was canceled and I had to pick them up early.
social,high,medium,My sibling’s friend was in a minor accident and I had to help with arrangements.
social,high,medium,My partner’s coworker needed help moving and I was the only one available.
social,high,medium,My roommate’s pet gecko escaped and I had to find it before leaving.
social,high,medium,My friend’s sibling needed help with a flat tire and I was the only one nearby.
social,high,medium,My neighbor’s alarm went off and I had to wait for the fire department.
social,high,medium,My child’s teacher called about a sudden behavioral issue and I had to address it.
social,high,medium,My sibling’s roommate was sick and I had to bring them medicine.
social,high,medium,My partner’s friend needed a ride to the train station and I was available.
social,high,medium,My roommate’s cousin was in a minor accident and I had to help with paperwork.
social,high,medium,My neighbor’s pet parrot escaped and I helped search for it.
social,high,medium,My friend’s dog was lost and I joined the search party.
social,high,medium,My roommate’s friend needed a place to stay and I had to prepare our guest room.
social,high,medium,My sibling’s friend’s bike was stolen and I helped file a report.
social,high,medium,My partner’s coworker was stranded after a breakdown and I picked them up.
social,high,medium,My child’s babysitter was late and I had to stay home until they arrived.
social,high,medium,My neighbor’s heating failed and I helped them set up space heaters.
social,high,medium,My friend’s car was blocked by a delivery truck and I assisted.
social,high,medium,My roommate’s sibling needed help with a school project and I was the only one available.
social,high,medium,My sibling’s friend’s pet was sick and I had to take it to the vet.
social,high,medium,My partner’s cousin needed help moving furniture and I was able to assist.
social,high,medium,My friend’s pet turtle escaped and I helped search the garden.
social,high,medium,My roommate’s cousin was locked out and I brought them a spare key.
social,high,medium,My neighbor’s child needed help with homework and I was the only one available.
social,high,medium,My child’s friend’s parent was late and I had to watch them after school.
social,high,medium,My sibling’s coworker needed a ride to work and I was nearby.
social,high,medium,My partner’s friend’s car broke down and I had to help with a jump start.
social,high,medium,My roommate’s friend needed help with a flat tire and I assisted.
social,high,medium,My neighbor’s elderly father needed help with groceries and I was available.
social,high,medium,My friend’s sibling needed a ride to the doctor and I was the only one free.
social,high,low,I got locked in a public restroom and had to wait for someone to rescue me.
social,high,low,My neighbor’s parrot flew into my apartment and refused to leave until I bribed it with crackers.
social,high,low,I was caught in a spontaneous pillow fight flash mob on my street and couldn’t get out.
social,high,low,My friend challenged me to a dance-off in the park and I couldn’t leave until I won.
social,high,low,My pet turtle escaped and led me on a chase through the neighborhood.
social,high,low,My roommate’s cat knocked over a jar of marbles and I had to pick them all up before leaving.
social,high,low,My sibling’s hamster hid my keys and I had to search the entire apartment.
social,high,low,I was mistaken for a street performer and had to act in a skit before I could leave.
social,high,low,My friend’s drone landed on my roof and I had to wait for help to retrieve it.
social,high,low,My neighbor’s goat blocked my driveway and refused to move for an hour.
social,high,low,I was recruited by a clown troupe for a charity event and couldn’t leave until my act was done.
